Tweet,Label
"Besok sekolah males bangetttt
#BesokSenin",-1
"Yang besok sekolah semangat sekolahnya
Yang besok kerja semangat kerjanya
Yang lagi kuliah semangat kuliahnya
Yang lagi skripsian tetap semangat masih ada wisudah tahun depan

#BesokSenin",1
Dulu waktu sekolah hari senin paling ditakuti semenjak kuliah hari senin makin serem gatau apalagi kerja abis minggu tbtb ovt mikirin kerjaan bsk #BesokSenin,-1
"Besok ujian😖💔 

#Sad #broken #brokenhome #sekolah #BesokSenin #bagispaydong",-1
"#BesokSenin , besok sekolah belum gosok baju udah malam besok sekolah gabisa bangun karena nonton #dracin.  Libur nyo kok cuma sebentar?? Males sekolah anj-_- https://t.co/43WqWtk9rO",-1
"Besok Senin guys semangat sekolah nya, semangat kerja nya, semangat menjalani hari pertama masuk setelah libur 10 hari wkw
#BesokSenin",1
"Alhamdulillah, #BesokSenin Banyak - banyak bersyukur selagi yang lain pada mengeluh. Bagi yang bekerja, bersyukur masih ada pekerjaan yang artinya ada pendapatan tiap bulan. Bagi yang sekolah, bersyukur karena banyak orang selain kamu yang putus sekolah.",1
"besok senin besok nya lg Selasa malah pesen tiket dijam sekolah 
ada yg mau beli? #besoksenin
#sad https://t.co/Xlw0Nmkrj8",1
"kok besok senin sih males banget dah ya allah~
#besoksenin #malespanking #beachlife #mylife #sekolah #healing #fypシ #FYP https://t.co/sk4Qb6l4SK",-1
"Besok Senin. Yang sekolah, rajin-rajinlah. Yang kerja, giatlah. Yang masih menangisi kepergiannya, berhentilah. Hatimu boleh hancur, masa depanmu jangan. #besoksenin",-1
#BesokSenin 👍yang sekolah semangat ujiannya!,1
"Mau jujur ini mah,jujur se jujur-jujurnya.sebenernya tuh udah ga ada minat lagi sekolah tatap muka kalo udah kebiasaan online gini mah.

#besoksenin",1
"Ngga kerja,ngga sekolah tapi vibes #BesokSenin ttep bikin gaenak ., oh ssshhh.! https://t.co/IUZa3G3LsR",1
"@radenrauf Gak tau kenapa dari jaman TK sampai udh enggak sekolah lg, hari ""Senin"" adalah sebuah ""beban"" rutin seminggu sekali 😌 #BesokSenin",-1
ku malas sekolah #besoksenin,-1
"Selamat tidur nyenyak anak-anakku tersayang, besok senin... sekolah

#BesokSENIN",1
sekolah ulangan gak sekolah gak dapet uang:v #BesokSenin,-1
"tuhan bisakah kau perlambat waktu? aku males jika besok sekolah
#BesokSenin",-1
"Besok senin, hari pertama sekolah akan dimulai kembali. Tugas menantimu. #BesokSenin",1
"Kenapa cepet bgt anjwing besok udh sekolah padahal gw cape banget kemaren gegara ada acara, sampe gw ketemu kasur langsung tidur 
#BesokSenin https://t.co/kAOB1CIOto",-1
"Besok dah sekolah aja anjirt, mana ga liburan 
#BesokSenin",-1
#besoksenin tapi untung masih libur sekolah awowkwowkwok,1
"#BesokSenin udah lama ga upacara kalau sekolah, kangen ga si? eh lupa kan libur ya :P",1
"“Pas sekolah diajari pelajaran biologi ttg cara berkembang biak,
Sepurane nek bab ati kadang aku sok luput.” 

#backtoschool #besoksenin #instagram #sagitariusadhi #sagittariously #blessyou https://t.co/1Xf1U0qDWG",-1
"Besok senin pergi sekolah ,dan kalo sempat melayat ke teman Tk yg meninggal dunia
#besoksenin
#kegiatanpadat",1
#BesokSenin Besok Senin pas ga ada jadwal sekolah sama les. nyantaii lah kuy https://t.co/63CylZSPGc,1
"#BesokSenin dah mulai sekolah lg, heran dah gw kek tertekan mulu  beda sesi ama teman akrab :(",1
gara-gara ni orang sekolah libur 2 tahun 🤣 #BesokSenin https://t.co/UVKOncDiUz,-1
#BesokSenin yg kerja semangat lagi kerja💪yg sekolah semangat juga sekolahnya👌 https://t.co/CkH9CbWrvV,1
"[Shopee 10.10 Gratis Ongkir Day] Peci Pemuda Muhammadiyah Nomor 9: Green Ultimate, AC Bordir Ekstra Tas Peci+Free Tasbih! https://t.co/UmTMWtFla9
#sekolah #subang Tokped #YNWA #MotoGP #BesokSenin #Muhammadiyah",1
Semenjak udah gak sekolah atau kerja lagi jadi gak takut klo #BesokSenin 🤭 skrg kudu fokus jadi irt yang sesungguhnya 😋,-1
"#BesokSenin Kangen Pergi ke Sekolah pagi buta mata masih merem belom mandi bau ketek 😂 upacara lagi , keringetan untung ada Rexona . Andai waktu bisa diputar kembali . Andai….",-1
"Wah cutmin udah jarang banget nih liat anak anak zaman sekarang pada main lompat tali, Pada tau gak sih, dulu permainan ini cukup populer, cutmin dulu tahun 2000an setelah pulang sekolah pasti main ini nih, ternyata manfaatnya cukup byk rakan 👇
#budayasaya #BesokSenin #minggu https://t.co/dYRWwmy86d",1
"Cuman mau ngingetin, besok senin hahaha. Udah pada mulai sekolah kan? mimin ada rekomen notebook ucul nih. cek thread ini yaaaa

#racunshopee #shopeehaul #besoksenin https://t.co/HFEOS5Sf7g",1
"Cuma mau mengingatkan
Besok hari senin..

Perasaan baru kemaren libur sekolah. Sekarang udh mau masuk aja. Cepet banget hidup ini :)

#besoksenin",1
"Besok senin??? Ngapain yah
Sekolah ngga, lulus ngga, ngerjain tugas ngga, Nasib angakatan corona😌
But, i like it😌👊❤
#BesokSenin",1
Bsk sekolah guys hadehhh #BesokSenin,1
"Besok Senin...jangan lupa kerja buat yang kerja,belajar buat yang sekolah,sahur buat yang berpuasa
@Syihabuddin2003
#BesokSenin 
#DemiPerkuatEkonomiNKRI 
#BiroJomblo https://t.co/d9cGn2HFgR",1
"besok sekolaaaahhhh.*YA ALLAH PAS BOSEN DIRUMAH NGGAK BOLEH SEKOLAH,PAS BETAH DI RUMAH DISURUH SEKOLAH*....😤😤😤💔💔💔 #BesokSenin #sekolah #ujicoba",1
"#besoksenin harus sekolah pagi2, tapi masih kepikiran Pemira Untirta yang ga kalah menguras emosinya dari #IkatanCintaEp210 

Yuk kawal sampe sehat #sehatkandemokrasiuntirta",1
"Besok senin nih rakan,
Yuk biar gak tegang kita telusuri sejarah sejarah yang ada di Aceh, nah kali ini mimin mau bahas sejarah gedung SMA 1 Kota Banda Aceh, pada tau kann Sekolah yang gedungnya seperti gedung yg ada di Belanda
#sejarah #heritage  #besoksenin #peninggalansejarah https://t.co/PdhASDpzzM",1
"Waktu masih sekolah hari yang paling aku takutkan adalah senin
Kenapa?
Karena bendahara nagih uang kas 
Dan artinya itu mengurangi uang jajanku
#BesokSenin",1
